service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DPSWK,1,1,1,1,1,0,0,20260104,20260523
P_Fri,0,0,0,0,1,0,0,20260104,20260523
SU,0,0,0,0,0,0,1,20260104,20260523
WK_3792,1,1,1,1,1,0,0,20260119,20260119
WK,1,1,1,1,1,0,0,20260104,20260523
WK_3776,1,1,1,1,1,0,0,20260119,20260119
FR,0,0,0,0,1,0,0,20260104,20260523
MT,1,1,1,1,0,0,0,20260104,20260523
SA,0,0,0,0,0,1,0,20260104,20260523
SA_3779,0,0,0,0,0,1,0,20260124,20260124
SA_3791,0,0,0,0,0,1,0,20260131,20260201
SU_3791,0,0,0,0,0,0,1,20260131,20260201
WK_3777,1,1,1,1,1,0,0,20260216,20260216
WK_3793,1,1,1,1,1,0,0,20260123,20260123
